"externalId","courseExternalId","coureSectionNumber","capacity","currentEnrollment","Status","CreditHours"
"AFRI010A AF-01 SP2023","AFRI010A AF","01","18","22","C","1.0"
"AFRI010B AF-01 SP2023","AFRI010B AF","01","15","6","O","1.0"
"AFRI020  PZ-01 SP2023","AFRI020  PZ","01","12","3","O","1.0"
"AFRI119  JT-01 SP2023","AFRI119  JT","01","12","4","O","1.0"
"AFRI120  PZ-01 SP2023","AFRI120  PZ","01","12","14","C","1.0"
"AFRI121IOAF-01 SP2023","AFRI121IOAF","01","8","8","C","1.0"
"AFRI125  AF-01 SP2023","AFRI125  AF","01","15","15","C","1.0"
"AFRI134  PO-01 SP2023","AFRI134  PO","01","18","20","C","1.0"
"AFRI149  AF-01 SP2023","AFRI149  AF","01","12","13","C","1.0"
"AFRI191  AF-01 SP2023","AFRI191  AF","01","99","2","O","1.0"
"AFRI191C AF-01 SP2023","AFRI191C AF","01","18","4","O","1.0"
"AMST103  JT-01 SP2023","AMST103  JT","01","30","28","R","1.0"
"AMST113  SC-01 SP2023","AMST113  SC","01","15","9","R","1.0"
"AMST118  PO-01 SP2023","AMST118  PO","01","15","13","C","1.0"
"AMST191  PO-04 SP2023","AMST191  PO","04","15","3","O","1.0"
"AMST191  SC-01 SP2023","AMST191  SC","01","99","0","O","1.0"
"ANTH001  PZ-01 SP2023","ANTH001  PZ","01","28","25","R","1.0"
"ANTH002  PO-01 SP2023","ANTH002  PO","01","20","23","C","1.0"
"ANTH002  PO-02 SP2023","ANTH002  PO","02","20","20","C","1.0"
"ANTH002  PZ-01 SP2023","ANTH002  PZ","01","18","18","C","1.0"
"ANTH002  PZ-02 SP2023","ANTH002  PZ","02","18","22","C","1.0"
"ANTH002  SC-01 SP2023","ANTH002  SC","01","18","17","R","1.0"
"ANTH002  SC-02 SP2023","ANTH002  SC","02","18","18","C","1.0"
"ANTH003  PZ-01 SP2023","ANTH003  PZ","01","25","24","R","1.0"
"ANTH009  PZ-01 SP2023","ANTH009  PZ","01","16","16","C","1.0"
"ANTH011  PZ-01 SP2023","ANTH011  PZ","01","28","26","R","1.0"
"ANTH012  PZ-01 SP2023","ANTH012  PZ","01","12","15","C","1.0"
"ANTH022  SC-01 SP2023","ANTH022  SC","01","16","20","C","1.0"
"ANTH027  SC-01 SP2023","ANTH027  SC","01","16","15","R","1.0"
"ANTH030  SC-01 SP2023","ANTH030  SC","01","16","16","C","1.0"
"ANTH050  PZ-01 SP2023","ANTH050  PZ","01","14","16","C","1.0"
"ANTH105  PO-01 SP2023","ANTH105  PO","01","15","21","C","1.0"
"ANTH107  PO-01 SP2023","ANTH107  PO","01","22","23","C","1.0"
"ANTH115  PO-01 SP2023","ANTH115  PO","01","20","15","C","1.0"
"ANTH117  PO-01 SP2023","ANTH117  PO","01","18","8","C","1.0"
"ANTH118  SC-01 SP2023","ANTH118  SC","01","15","17","C","1.0"
"ANTH127  SC-01 SP2023","ANTH127  SC","01","15","15","C","1.0"
"ANTH134  HM-01 SP2023","ANTH134  HM","01","20","20","C","3.0"
"ANTH154  PZ-01 SP2023","ANTH154  PZ","01","7","8","C","1.0"
"ANTH185P SC-01 SP2023","ANTH185P SC","01","18","18","C","1.0"
"ANTH189P PO-01 SP2023","ANTH189P PO","01","15","18","C","1.0"
"ANTH189S PO-01 SP2023","ANTH189S PO","01","12","13","C","1.0"
"ANTH191  PO-04 SP2023","ANTH191  PO","04","15","1","O","0.5"
"ANTH191  SC-01 SP2023","ANTH191  SC","01","99","1","O","1.0"
"ANTH192  PO-04 SP2023","ANTH192  PO","04","15","1","O","0.5"
"ARBC002  CM-01 SP2023","ARBC002  CM","01","18","12","O","1.0"
"ARBC002  CM-01 SP2023","ARBC002  CM","01","18","12","O","1.0"
"ARBC002  CM-02 SP2023","ARBC002  CM","02","18","17","O","1.0"
"ARBC002  CM-02 SP2023","ARBC002  CM","02","18","17","O","1.0"
"ARBC012  CM-01 SP2023","ARBC012  CM","01","18","2","O","0.0"
"ARBC014  CM-01 SP2023","ARBC014  CM","01","18","3","O","0.0"
"ARBC044  CM-01 SP2023","ARBC044  CM","01","18","7","O","1.0"
"ARBC148  CM-01 SP2023","ARBC148  CM","01","18","5","O","1.0"
"ARCN144  SC-01 SP2023","ARCN144  SC","01","12","14","C","1.0"
"ARCN191  SC-01 SP2023","ARCN191  SC","01","99","0","O","1.0"
"ARHI001B PO-01 SP2023","ARHI001B PO","01","70","67","C","1.0"
"ARHI120  PO-01 SP2023","ARHI120  PO","01","20","21","C","1.0"
"ARHI132  PO-01 SP2023","ARHI132  PO","01","15","12","C","1.0"
"ARHI134  PO-01 SP2023","ARHI134  PO","01","15","16","C","1.0"
"ARHI136  JT-01 SP2023","ARHI136  JT","01","26","26","C","1.0"
"ARHI141A PO-01 SP2023","ARHI141A PO","01","15","13","C","1.0"
"ARHI151  SC-01 SP2023","ARHI151  SC","01","25","26","C","1.0"
"ARHI177  SC-01 SP2023","ARHI177  SC","01","15","11","R","1.0"
"ARHI178  PO-01 SP2023","ARHI178  PO","01","15","12","C","1.0"
"ARHI179E HM-01 SP2023","ARHI179E HM","01","30","30","C","3.0"
"ARHI183  PZ-01 SP2023","ARHI183  PZ","01","20","19","O","1.0"
"ARHI185  SC-01 SP2023","ARHI185  SC","01","25","24","O","1.0"
"ARHI186B PZ-01 SP2023","ARHI186B PZ","01","15","15","C","1.0"
"ARHI186C SC-01 SP2023","ARHI186C SC","01","15","9","R","1.0"
"ARHI186G PO-01 SP2023","ARHI186G PO","01","20","22","C","1.0"
"ARHI186N SC-01 SP2023","ARHI186N SC","01","15","13","R","1.0"
"ARHI186Z PZ-01 SP2023","ARHI186Z PZ","01","15","17","C","1.0"
"ARHI187  PO-01 SP2023","ARHI187  PO","01","16","13","C","1.0"
"ARHI188  SC-01 SP2023","ARHI188  SC","01","15","15","C","1.0"
"ARHI191  PO-04 SP2023","ARHI191  PO","04","15","2","O","1.0"
"ARHI191  PO-08 SP2023","ARHI191  PO","08","15","0","O","1.0"
"ARHI191  PO-12 SP2023","ARHI191  PO","12","15","3","O","1.0"
"ARHI191  PO-16 SP2023","ARHI191  PO","16","15","0","O","1.0"
"ARHI191  PO-20 SP2023","ARHI191  PO","20","15","0","O","1.0"
"ARHI191  SC-01 SP2023","ARHI191  SC","01","99","0","O","1.0"
"ART 005  PO-01 SP2023","ART 005  PO","01","15","13","O","1.0"
"ART 010  PO-01 SP2023","ART 010  PO","01","12","12","C","1.0"
"ART 011  PZ-01 SP2023","ART 011  PZ","01","16","2","O","1.0"
"ART 016  PZ-01 SP2023","ART 016  PZ","01","14","8","O","1.0"
"ART 020  PO-01 SP2023","ART 020  PO","01","12","12","C","1.0"
"ART 021  PO-01 SP2023","ART 021  PO","01","15","13","O","1.0"
"ART 030  PZ-01 SP2023","ART 030  PZ","01","14","14","C","1.0"
"ART 033  PO-02 SP2023","ART 033  PO","02","15","11","O","1.0"
"ART 060  HM-01 SP2023","ART 060  HM","01","10","12","C","1.5"
"ART 102  SC-01 SP2023","ART 102  SC","01","16","16","C","1.0"
"ART 112  PZ-01 SP2023","ART 112  PZ","01","15","20","C","1.0"
"ART 113  PZ-01 SP2023","ART 113  PZ","01","15","18","C","1.0"
"ART 115  PO-01 SP2023","ART 115  PO","01","15","12","O","1.0"
"ART 119  PZ-01 SP2023","ART 119  PZ","01","14","13","O","1.0"
"ART 121  SC-01 SP2023","ART 121  SC","01","16","13","O","1.0"
"ART 123  PZ-01 SP2023","ART 123  PZ","01","20","20","C","1.0"
"ART 126  PZ-01 SP2023","ART 126  PZ","01","12","13","C","1.0"
"ART 126A SC-01 SP2023","ART 126A SC","01","16","16","C","1.0"
"ART 126B PO-01 SP2023","ART 126B PO","01","12","11","O","1.0"
"ART 126B SC-01 SP2023","ART 126B SC","01","16","15","O","1.0"
"ART 127  PO-01 SP2023","ART 127  PO","01","10","10","C","1.0"
"ART 135  SC-01 SP2023","ART 135  SC","01","12","12","C","1.0"
"ART 136  SC-01 SP2023","ART 136  SC","01","12","12","C","1.0"
"ART 141  SC-01 SP2023","ART 141  SC","01","12","18","C","1.0"
"ART 142  SC-01 SP2023","ART 142  SC","01","16","17","C","1.0"
"ART 143  SC-01 SP2023","ART 143  SC","01","16","9","O","1.0"
"ART 147  SC-01 SP2023","ART 147  SC","01","16","20","C","1.0"
"ART 147  SC-01 SP2023","ART 147  SC","01","16","20","C","1.0"
"ART 148  SC-01 SP2023","ART 148  SC","01","18","17","R","1.0"
"ART 149  SC-01 SP2023","ART 149  SC","01","18","16","R","1.0"
"ART 151  JT-01 SP2023","ART 151  JT","01","16","9","O","1.0"
"ART 179K HM-01 SP2023","ART 179K HM","01","14","13","R","3.0"
"ART 179K HM-01 SP2023","ART 179K HM","01","14","13","R","3.0"
"ART 179L HM-01 SP2023","ART 179L HM","01","14","16","C","3.0"
"ART 179M HM-01 SP2023","ART 179M HM","01","14","16","C","3.0"
"ART 179P HM-01 SP2023","ART 179P HM","01","14","16","C","3.0"
"ART 181G SC-01 SP2023","ART 181G SC","01","16","24","C","1.0"
"ART 188  PO-01 SP2023","ART 188  PO","01","12","9","O","1.0"
"ART 192  PO-04 SP2023","ART 192  PO","04","10","5","O","1.0"
"ART 193  SC-01 SP2023","ART 193  SC","01","16","3","O","1.0"
"ART 196  PZ-01 SP2023","ART 196  PZ","01","2","2","C","1.0"
"ART 199  PZ-01 SP2023","ART 199  PZ","01","16","6","O","1.0"
"ASAM056  PZ-01 SP2023","ASAM056  PZ","01","8","8","C","1.0"
"ASAM056  PZ-02 SP2023","ASAM056  PZ","02","8","8","C","1.0"
"ASAM085  PZ-01 SP2023","ASAM085  PZ","01","14","11","O","1.0"
"ASAM089  PZ-01 SP2023","ASAM089  PZ","01","14","10","O","1.0"
"ASAM090  PZ-01 SP2023","ASAM090  PZ","01","15","15","C","1.0"
"ASAM128  PZ-01 SP2023","ASAM128  PZ","01","14","11","O","1.0"
"ASAM137  PZ-01 SP2023","ASAM137  PZ","01","15","12","R","1.0"
"ASAM143 PO-01 SP2023","ASAM143 PO","01","15","17","C","1.0"
"ASAM144  PO-01 SP2023","ASAM144  PO","01","15","12","C","1.0"
"ASAM156  PZ-01 SP2023","ASAM156  PZ","01","8","7","R","1.0"
"ASAM160  AA-01 SP2023","ASAM160  AA","01","20","21","C","1.0"
"ASAM179K AA-01 SP2023","ASAM179K AA","01","12","14","C","1.0"
"ASAM179L AA-01 SP2023","ASAM179L AA","01","12","16","C","1.0"
"ASAM179M HM-01 SP2023","ASAM179M HM","01","24","17","O","3.0"
"ASAM179N HM-01 SP2023","ASAM179N HM","01","24","17","O","3.0"
"ASAM191  PO-04 SP2023","ASAM191  PO","04","15","0","O","1.0"
"ASAM191  PO-08 SP2023","ASAM191  PO","08","15","0","O","1.0"
"ASAM191  PO-12 SP2023","ASAM191  PO","12","15","0","O","1.0"
"ASAM191  PO-14 SP2023","ASAM191  PO","14","15","0","O","1.0"
"ASAM191  PO-16 SP2023","ASAM191  PO","16","15","0","O","1.0"
"ASAM191  PO-24 SP2023","ASAM191  PO","24","15","0","O","1.0"
"ASAM191  PO-32 SP2023","ASAM191  PO","32","15","0","O","1.0"
"ASAM191  PO-36 SP2023","ASAM191  PO","36","15","0","O","1.0"
"ASAM191  PO-40 SP2023","ASAM191  PO","40","15","0","O","1.0"
"ASAM191  PO-44 SP2023","ASAM191  PO","44","15","0","O","1.0"
"ASAM191  PO-48 SP2023","ASAM191  PO","48","15","0","O","1.0"
"ASAM191  PO-52 SP2023","ASAM191  PO","52","15","0","O","1.0"
"ASAM191  PO-56 SP2023","ASAM191  PO","56","15","0","O","1.0"
"ASAM191  PO-60 SP2023","ASAM191  PO","60","15","0","O","1.0"
"ASAM191  PO-64 SP2023","ASAM191  PO","64","15","1","O","1.0"
"ASIA081  PO-01 SP2023","ASIA081  PO","01","25","24","C","1.0"
"ASIA191  PO-04 SP2023","ASIA191  PO","04","10","0","O","1.0"
"ASIA192  PO-04 SP2023","ASIA192  PO","04","15","0","O","1.0"
"ASTR002  PO-01 SP2023","ASTR002  PO","01","26","48","C","1.0"
"ASTR051  PO-01 SP2023","ASTR051  PO","01","18","18","C","1.0"
"ASTR051 LPO-01 SP2023","ASTR051 LPO","01","18","18","C","0.0"
"ASTR062  HM-01 SP2023","ASTR062  HM","01","35","23","O","3.0"
"ASTR066L KS-01 SP2023","ASTR066L KS","01","21","28","C","1.0"
"ASTR066L KS-01 SP2023","ASTR066L KS","01","21","28","C","1.0"
"ASTR066L KS-02 SP2023","ASTR066L KS","02","19","26","C","1.0"
"ASTR066L KS-02 SP2023","ASTR066L KS","02","19","26","C","1.0"
"ASTR066L KS-03 SP2023","ASTR066L KS","03","21","24","C","1.0"
"ASTR066L KS-03 SP2023","ASTR066L KS","03","21","24","C","1.0"
"ASTR066L KS-04 SP2023","ASTR066L KS","04","19","19","C","1.0"
"ASTR066L KS-04 SP2023","ASTR066L KS","04","19","19","C","1.0"
"ASTR123  PO-01 SP2023","ASTR123  PO","01","12","10","O","0.5"
"ASTR127  PO-01 SP2023","ASTR127  PO","01","15","9","O","0.5"
"BIOL001A PO-01 SP2023","BIOL001A PO","01","20","23","C","1.0"
"BIOL007  PO-01 SP2023","BIOL007  PO","01","36","34","O","1.0"
"BIOL007 LPO-01 SP2023","BIOL007 LPO","01","9","8","C","0.0"
"BIOL007 LPO-02 SP2023","BIOL007 LPO","02","9","8","C","0.0"
"BIOL007 LPO-03 SP2023","BIOL007 LPO","03","9","9","C","0.0"
"BIOL007 LPO-04 SP2023","BIOL007 LPO","04","9","8","C","0.0"
"BIOL023  HM-01 SP2023","BIOL023  HM","01","22","24","C","1.0"
"BIOL023  HM-02 SP2023","BIOL023  HM","02","22","24","C","1.0"
"BIOL023  HM-03 SP2023","BIOL023  HM","03","22","24","C","1.0"
"BIOL023  HM-04 SP2023","BIOL023  HM","04","22","24","C","1.0"
"BIOL023  HM-05 SP2023","BIOL023  HM","05","22","24","C","1.0"
"BIOL041C PO-01 SP2023","BIOL041C PO","01","24","23","C","1.0"
"BIOL041C PO-01 SP2023","BIOL041C PO","01","24","23","C","1.0"
"BIOL041C PO-02 SP2023","BIOL041C PO","02","24","26","C","1.0"
"BIOL041C PO-02 SP2023","BIOL041C PO","02","24","26","C","1.0"
"BIOL041C PO-03 SP2023","BIOL041C PO","03","24","26","C","1.0"
"BIOL041C PO-03 SP2023","BIOL041C PO","03","24","26","C","1.0"
"BIOL041E PO-01 SP2023","BIOL041E PO","01","24","11","O","1.0"
"BIOL041E PO-01 SP2023","BIOL041E PO","01","24","11","O","1.0"
"BIOL041E PO-02 SP2023","BIOL041E PO","02","24","11","O","1.0"
"BIOL041E PO-02 SP2023","BIOL041E PO","02","24","11","O","1.0"
"BIOL042L KS-01 SP2023","BIOL042L KS","01","24","22","R","2.0"
"BIOL042L KS-02 SP2023","BIOL042L KS","02","24","11","O","2.0"
"BIOL042LXKS-01 SP2023","BIOL042LXKS","01","24","18","O","0.0"
"BIOL042LXKS-01 SP2023","BIOL042LXKS","01","24","18","O","0.0"
"BIOL042LXKS-02 SP2023","BIOL042LXKS","02","24","13","O","0.0"
"BIOL042LXKS-02 SP2023","BIOL042LXKS","02","24","13","O","0.0"
"BIOL044L KS-01 SP2023","BIOL044L KS","01","40","23","O","1.0"
"BIOL044L KS-02 SP2023","BIOL044L KS","02","40","44","C","1.0"
"BIOL044L KS-03 SP2023","BIOL044L KS","03","40","34","O","1.0"
"BIOL044L KS-04 SP2023","BIOL044L KS","04","40","39","R","1.0"
"BIOL044L KS-05 SP2023","BIOL044L KS","05","40","43","C","1.0"
"BIOL044L KS-06 SP2023","BIOL044L KS","06","40","44","C","1.0"
"BIOL044LXKS-01 SP2023","BIOL044LXKS","01","24","24","C","0.0"
"BIOL044LXKS-02 SP2023","BIOL044LXKS","02","24","24","C","0.0"
"BIOL044LXKS-03 SP2023","BIOL044LXKS","03","24","23","R","0.0"
"BIOL044LXKS-04 SP2023","BIOL044LXKS","04","24","24","C","0.0"
"BIOL044LXKS-05 SP2023","BIOL044LXKS","05","24","24","C","0.0"
"BIOL044LXKS-06 SP2023","BIOL044LXKS","06","24","22","R","0.0"
"BIOL044LXKS-07 SP2023","BIOL044LXKS","07","24","22","R","0.0"
"BIOL044LXKS-08 SP2023","BIOL044LXKS","08","24","21","O","0.0"
"BIOL044LXKS-09 SP2023","BIOL044LXKS","09","24","22","R","0.0"
"BIOL044LXKS-10 SP2023","BIOL044LXKS","10","24","8","O","0.0"
"BIOL046  HM-01 SP2023","BIOL046  HM","01","120","119","O","3.0"
"BIOL046R HM-01 SP2023","BIOL046R HM","01","30","30","C","0.0"
"BIOL046R HM-02 SP2023","BIOL046R HM","02","30","30","C","0.0"
"BIOL046R HM-03 SP2023","BIOL046R HM","03","30","29","O","0.0"
"BIOL046R HM-04 SP2023","BIOL046R HM","04","30","30","C","0.0"
"BIOL054  HM-01 SP2023","BIOL054  HM","01","12","11","R","1.0"
"BIOL054  HM-01 SP2023","BIOL054  HM","01","12","11","R","1.0"
"BIOL054  HM-02 SP2023","BIOL054  HM","02","12","14","C","1.0"
"BIOL054  HM-02 SP2023","BIOL054  HM","02","12","14","C","1.0"
"BIOL057L KS-01 SP2023","BIOL057L KS","01","40","39","R","1.0"
"BIOL101  HM-01 SP2023","BIOL101  HM","01","36","7","O","3.0"
"BIOL104  PO-01 SP2023","BIOL104  PO","01","12","13","C","1.0"
"BIOL104  PO-01 SP2023","BIOL104  PO","01","12","13","C","1.0"
"BIOL106  PO-01 SP2023","BIOL106  PO","01","12","13","C","1.0"
"BIOL106  PO-01 SP2023","BIOL106  PO","01","12","13","C","1.0"
"BIOL108  HM-01 SP2023","BIOL108  HM","01","24","10","O","3.0"
"BIOL111  KS-01 SP2023","BIOL111  KS","01","24","24","C","1.0"
"BIOL116  PO-01 SP2023","BIOL116  PO","01","12","11","O","1.0"
"BIOL116  PO-01 SP2023","BIOL116  PO","01","12","11","O","1.0"
"BIOL119  KS-01 SP2023","BIOL119  KS","01","8","8","C","0.25"
"BIOL131  KS-01 SP2023","BIOL131  KS","01","24","18","O","1.0"
"BIOL131L KS-01 SP2023","BIOL131L KS","01","18","18","C","1.0"
"BIOL131L KS-01 SP2023","BIOL131L KS","01","18","18","C","1.0"
"BIOL136L KS-01 SP2023","BIOL136L KS","01","18","16","R","1.0"
