"permCountExternalId","PermCount"
"AFRI010A AF-01 SP2023","13"
"AFRI010B AF-01 SP2023","9"
"AFRI119  JT-01 SP2023","8"
"AFRI120  PZ-01 SP2023","14"
"AFRI121IOAF-01 SP2023","27"
"AFRI125  AF-01 SP2023","19"
"AFRI134  PO-01 SP2023","7"
"AFRI149  AF-01 SP2023","4"
"AFRI191C AF-01 SP2023","6"
"AMST103  JT-01 SP2023","7"
"AMST113  SC-01 SP2023","11"
"AMST118  PO-01 SP2023","2"
"AMST191  PO-04 SP2023","5"
"ANTH001  PZ-01 SP2023","34"
"ANTH002  PO-01 SP2023","12"
"ANTH002  PO-02 SP2023","22"
"ANTH002  PZ-01 SP2023","19"
"ANTH002  PZ-02 SP2023","25"
"ANTH002  SC-01 SP2023","6"
"ANTH002  SC-02 SP2023","3"
"ANTH003  PZ-01 SP2023","18"
"ANTH009  PZ-01 SP2023","30"
"ANTH011  PZ-01 SP2023","1"
"ANTH012  PZ-01 SP2023","22"
"ANTH022  SC-01 SP2023","16"
"ANTH027  SC-01 SP2023","5"
"ANTH030  SC-01 SP2023","26"
"ANTH050  PZ-01 SP2023","27"
"ANTH105  PO-01 SP2023","8"
"ANTH107  PO-01 SP2023","29"
"ANTH115  PO-01 SP2023","2"
"ANTH118  SC-01 SP2023","4"
"ANTH127  SC-01 SP2023","30"
"ANTH134  HM-01 SP2023","1"
"ANTH154  PZ-01 SP2023","19"
"ANTH185P SC-01 SP2023","32"
"ANTH189P PO-01 SP2023","8"
"ANTH189S PO-01 SP2023","32"
"ANTH191  PO-04 SP2023","1"
"ANTH192  PO-04 SP2023","2"
"ARCN144  SC-01 SP2023","23"
"ARHI001B PO-01 SP2023","18"
"ARHI120  PO-01 SP2023","7"
"ARHI132  PO-01 SP2023","5"
"ARHI134  PO-01 SP2023","1"
"ARHI136  JT-01 SP2023","16"
"ARHI141A PO-01 SP2023","3"
"ARHI151  SC-01 SP2023","68"
"ARHI177  SC-01 SP2023","12"
"ARHI178  PO-01 SP2023","3"
"ARHI179E HM-01 SP2023","16"
"ARHI183  PZ-01 SP2023","40"
"ARHI185  SC-01 SP2023","41"
"ARHI186B PZ-01 SP2023","13"
"ARHI186C SC-01 SP2023","1"
"ARHI186G PO-01 SP2023","12"
"ARHI186N SC-01 SP2023","2"
"ARHI186Z PZ-01 SP2023","21"
"ARHI187  PO-01 SP2023","4"
"ARHI188  SC-01 SP2023","13"
"ARHI191  PO-04 SP2023","4"
"ARHI191  PO-16 SP2023","1"
"ART 005  PO-01 SP2023","93"
"ART 010  PO-01 SP2023","145"
"ART 011  PZ-01 SP2023","4"
"ART 016  PZ-01 SP2023","78"
"ART 020  PO-01 SP2023","115"
"ART 021  PO-01 SP2023","76"
"ART 030  PZ-01 SP2023","6"
"ART 033  PO-02 SP2023","89"
"ART 060  HM-01 SP2023","28"
"ART 102  SC-01 SP2023","22"
"ART 112  PZ-01 SP2023","26"
"ART 113  PZ-01 SP2023","17"
"ART 115  PO-01 SP2023","24"
"ART 119  PZ-01 SP2023","36"
"ART 121  SC-01 SP2023","68"
"ART 123  PZ-01 SP2023","64"
"ART 126  PZ-01 SP2023","14"
"ART 126A SC-01 SP2023","68"
"ART 126B PO-01 SP2023","9"
"ART 126B SC-01 SP2023","27"
"ART 127  PO-01 SP2023","23"
"ART 135  SC-01 SP2023","41"
"ART 136  SC-01 SP2023","23"
"ART 141  SC-01 SP2023","58"
"ART 142  SC-01 SP2023","13"
"ART 143  SC-01 SP2023","7"
"ART 147  SC-01 SP2023","10"
"ART 148  SC-01 SP2023","81"
"ART 149  SC-01 SP2023","25"
"ART 151  JT-01 SP2023","2"
"ART 179K HM-01 SP2023","31"
"ART 179L HM-01 SP2023","10"
"ART 179M HM-01 SP2023","50"
"ART 179P HM-01 SP2023","48"
"ART 181G SC-01 SP2023","13"
"ART 188  PO-01 SP2023","9"
"ART 192  PO-04 SP2023","9"
"ART 193  SC-01 SP2023","6"
"ART 196  PZ-01 SP2023","7"
"ART 199  PZ-01 SP2023","1"
"ASAM056  PZ-01 SP2023","2"
"ASAM056  PZ-02 SP2023","7"
"ASAM085  PZ-01 SP2023","18"
"ASAM089  PZ-01 SP2023","19"
"ASAM090  PZ-01 SP2023","10"
"ASAM128  PZ-01 SP2023","36"
"ASAM137  PZ-01 SP2023","2"
"ASAM143 PO-01 SP2023","3"
