"calendarSessionExternalId","courseSectionExternalId"
"SP2023","AFRI010A AF-01 SP2023"
"SP2023","AFRI010A AF-01 SP2023"
"SP2023","AFRI010B AF-01 SP2023"
"SP2023","AFRI020  PZ-01 SP2023"
"SP2023","AFRI119  JT-01 SP2023"
"SP2023","AFRI120  PZ-01 SP2023"
"SP2023","AFRI121IOAF-01 SP2023"
"SP2023","AFRI125  AF-01 SP2023"
"SP2023","AFRI127  PZ-01 SP2023"
"SP2023","AFRI134  PO-01 SP2023"
"SP2023","AFRI149  AF-01 SP2023"
"SP2023","AFRI149  AF-01 SP2023"
"SP2023","AFRI191  AF-01 SP2023"
"SP2023","AFRI191  AF-08 SP2023"
"SP2023","AFRI191C AF-01 SP2023"
"SP2023","AMST103  JT-01 SP2023"
"SP2023","AMST113  SC-01 SP2023"
"SP2023","AMST118  PO-01 SP2023"
"SP2023","AMST191  PO-04 SP2023"
"SP2023","AMST191  SC-01 SP2023"
"SP2023","ANTH001  PZ-01 SP2023"
"SP2023","ANTH002  PO-01 SP2023"
"SP2023","ANTH002  PO-02 SP2023"
"SP2023","ANTH002  PZ-01 SP2023"
"SP2023","ANTH002  PZ-02 SP2023"
"SP2023","ANTH002  SC-01 SP2023"
"SP2023","ANTH002  SC-01 SP2023"
"SP2023","ANTH002  SC-02 SP2023"
"SP2023","ANTH002  SC-02 SP2023"
"SP2023","ANTH003  PZ-01 SP2023"
"SP2023","ANTH009  PZ-01 SP2023"
"SP2023","ANTH011  PZ-01 SP2023"
"SP2023","ANTH012  PZ-01 SP2023"
"SP2023","ANTH022  SC-01 SP2023"
"SP2023","ANTH022  SC-01 SP2023"
"SP2023","ANTH027  SC-01 SP2023"
"SP2023","ANTH027  SC-01 SP2023"
"SP2023","ANTH030  SC-01 SP2023"
"SP2023","ANTH030  SC-01 SP2023"
"SP2023","ANTH050  PZ-01 SP2023"
"SP2023","ANTH105  PO-01 SP2023"
"SP2023","ANTH107  PO-01 SP2023"
"SP2023","ANTH115  PO-01 SP2023"
"SP2023","ANTH117  PO-01 SP2023"
"SP2023","ANTH118  SC-01 SP2023"
"SP2023","ANTH118  SC-01 SP2023"
"SP2023","ANTH127  SC-01 SP2023"
"SP2023","ANTH127  SC-01 SP2023"
"SP2023","ANTH134  HM-01 SP2023"
"SP2023","ANTH154  PZ-01 SP2023"
"SP2023","ANTH185P SC-01 SP2023"
"SP2023","ANTH185P SC-01 SP2023"
"SP2023","ANTH189P PO-01 SP2023"
"SP2023","ANTH189S PO-01 SP2023"
"SP2023","ANTH190  PO-01 SP2023"
"SP2023","ANTH191  PO-04 SP2023"
"SP2023","ANTH191  SC-01 SP2023"
"SP2023","ANTH192  PO-04 SP2023"
"SP2023","ARBC002  CM-01 SP2023"
"SP2023","ARBC002  CM-01 SP2023"
"SP2023","ARBC002  CM-02 SP2023"
"SP2023","ARBC002  CM-02 SP2023"
"SP2023","ARBC012  CM-01 SP2023"
"SP2023","ARBC012  CM-01 SP2023"
"SP2023","ARBC014  CM-01 SP2023"
"SP2023","ARBC014  CM-01 SP2023"
"SP2023","ARBC044  CM-01 SP2023"
"SP2023","ARBC148  CM-01 SP2023"
"SP2023","ARCN144  SC-01 SP2023"
"SP2023","ARCN144  SC-01 SP2023"
"SP2023","ARCN191  SC-01 SP2023"
"SP2023","ARHI001B PO-01 SP2023"
"SP2023","ARHI120  PO-01 SP2023"
"SP2023","ARHI132  PO-01 SP2023"
"SP2023","ARHI134  PO-01 SP2023"
"SP2023","ARHI136  JT-01 SP2023"
"SP2023","ARHI141A PO-01 SP2023"
"SP2023","ARHI151  SC-01 SP2023"
"SP2023","ARHI177  SC-01 SP2023"
"SP2023","ARHI178  PO-01 SP2023"
"SP2023","ARHI179E HM-01 SP2023"
"SP2023","ARHI183  PZ-01 SP2023"
"SP2023","ARHI185  SC-01 SP2023"
"SP2023","ARHI186B PZ-01 SP2023"
"SP2023","ARHI186C SC-01 SP2023"
"SP2023","ARHI186G PO-01 SP2023"
"SP2023","ARHI186N SC-01 SP2023"
"SP2023","ARHI186Z PZ-01 SP2023"
"SP2023","ARHI187  PO-01 SP2023"
"SP2023","ARHI188  SC-01 SP2023"
"SP2023","ARHI191  PO-04 SP2023"
"SP2023","ARHI191  PO-08 SP2023"
"SP2023","ARHI191  PO-12 SP2023"
"SP2023","ARHI191  PO-16 SP2023"
"SP2023","ARHI191  PO-20 SP2023"
"SP2023","ARHI191  SC-01 SP2023"
"SP2023","ARHI191  SC-02 SP2023"
"SP2023","ART 005  PO-01 SP2023"
"SP2023","ART 010  PO-01 SP2023"
"SP2023","ART 011  PZ-01 SP2023"
"SP2023","ART 016  PZ-01 SP2023"
"SP2023","ART 020  PO-01 SP2023"
"SP2023","ART 021  PO-01 SP2023"
"SP2023","ART 030  PZ-01 SP2023"
"SP2023","ART 033  PO-02 SP2023"
"SP2023","ART 060  HM-01 SP2023"
"FA2023","ART 060  HM-01 FA2023"
"SP2023","ART 102  SC-01 SP2023"
"SP2023","ART 112  PZ-01 SP2023"
"SP2023","ART 113  PZ-01 SP2023"
"SP2023","ART 115  PO-01 SP2023"
"SP2023","ART 119  PZ-01 SP2023"
"SP2023","ART 121  SC-01 SP2023"
"SP2023","ART 123  PZ-01 SP2023"
"SP2023","ART 126  PZ-01 SP2023"
"SP2023","ART 126A SC-01 SP2023"
"SP2023","ART 126B PO-01 SP2023"
"SP2023","ART 126B SC-01 SP2023"
"SP2023","ART 127  PO-01 SP2023"
"SP2023","ART 135  SC-01 SP2023"
"SP2023","ART 136  SC-01 SP2023"
"SP2023","ART 141  SC-01 SP2023"
