"externalId"||`||"classificationOfInstructionalProgramCode"||`||"courseNumber"||`||"courseTitle"||`||"departmentExternalId"||`||"institutionExternalId"||`||"facilityExternalId"||`||"description"
"AFRI010A AF"||`||""||`||"AFRI010A AF"||`||"Intro to Africana Studies"||`||"SAFR"||`||"SC"||`||"SC"||`||"This class will serve as a general introduction to Africana Studies. Africana studies, while still relatively young, has a vibrant history that traces the lives and scholarship of people from African descent. Its complex and latent development in academia follows from the socio-political marginalization of people within the African diaspora. Nevertheless, resilience and perseverance will be repeated themes as we study how, through different techniques and modes of understanding, people of the African diaspora have continually challenged the western hegemony of academic study.||``||"
"AFRI010B AF"||`||"05.0201"||`||"AFRI010B AF"||`||"Research Methods"||`||"SIDO"||`||"PO"||`||"PO"||`||"Africana Studies is an interdisciplinary field that examines the historical, cultural, literary, aesthetic, political, social, and economic experiences and knowledges of peoples of African origin in both Africa and the African diaspora. In this course, we will consider several disciplines, such as art history, psychology, and philosophy, and their intersection with Africana Studies. We will discuss how these disciplines approach Africana Studies and how Africana Studies scholars can employ disciplinary lenses. In the process of producing a research paper this semester, you will explore and select the methods for which you will conduct your research.||``||"
"AFRI020  PZ"||`||""||`||"AFRI020  PZ"||`||"Intro African American Psych"||`||"ZAFR"||`||"PZ"||`||"PZ"||`||"Situating the study of human development in the context of culture has gained tremendous momentum over the past few decades.  This course is designed to examine theoretical and empirical issues relating to the psychology of African Americans.  Specific attention will be given to (1) traditional and africentric approaches to the study of African American Psychology, (2) issues of measurement of the minority personality (testing bias, intelligence testing etc), and (3) individual and developmental issues, such as cognition, self-concept, self-esteem and racial identity.  This course begins with an overview African American Psychology as an evolving field of study and considers the African American paradigm as one of the key conceptual frameworks for understanding the psychological experiences of African Americans. "
"AFRI119  JT"||`||"05.0201"||`||"AFRI119  JT"||`||"Africana Journal & New Media"||`||"SAFR"||`||"PZ"||`||"PZ"||`||"Students research conceptual frameworks toward creating and maintaining an Africana Studies journal. The journal may include new media formats such as blogs and podcasts, in addition to traditional article formats. Following the practices of Black feminist theory, the journal encourages writing that includes authorial experience and positionality."
"AFRI120  PZ"||`||""||`||"AFRI120  PZ"||`||"B(L)ack to Nature: Poetry & Thry"||`||"ZAFR"||`||"PZ"||`||"PZ"||`||"B(L)ack to Nature: Poetry & Theory||``||||``||This course introduces students to poetic forms in relation to the subject of nature in 20thC African American poetry. Through the study of authors such as Lucille Clifton, Ntozake Shange, Nikki Giovanni, Sonia Sanchez, June Jordan, and Claudia Rankine students explore formal aesthetic strategies of and practice writing free verse, vignette, haiku, choreopoem, blues, and spoken word. Through readings and research in Black feminist geography studies students learn the critical contexts of and develop an aesthetic understanding in relation to the representational politics of nature and gender in African American poetic expression."
"AFRI121IOAF"||`||"05.0201"||`||"AFRI121IOAF"||`||"Africana Philosophy"||`||""||`||"CM"||`||"CM"||`||"Philosophical thought and the philosophical cannon cannot be restricted to the 'great thinkers' of western history. This course will be a general introduction to Africana Philosophy. We will unveil not only that philosophy is more than the western world and has points of origin in other places, such as Africa, but we will also discover how Africana philosophy serves as a challenge to the integrity of integral concepts and themes in modern western philosophy; for example, the subject, freedom, the human, and even ontology. We will achieve these insights through a survey of thinkers, writers, and people who address themes such as traditional africana thought, black existentialism, black feminism, post colonialism, whiteness, double consciousness, and afro-pessimism. Cross-listed as PHIL109IOCM.||``||||``||Students should also be aware of special course demands, which include up to an additional hour time commitment both before and after class times for transportation to/from the prison and clearance processes at the prison, the need for TB testing (available through Student Healthcare Services for $10), and the need to submit personal information for background checks. Students will be asked to pay a $15 course fee to cover the cost of a required safety whistle and a class t-shirt, to be donned by all students for all class sessions. "
"AFRI125  AF"||`||"05.0201"||`||"AFRI125  AF"||`||"Afro-Pessimism Politics of Hope"||`||"MIDS"||`||"CM"||`||"CM"||`||"This course will survey the deep and dark history of dreams, accomplishments and roadblocks that have constituted and continue to influence the ways Blacks in America negotiate a compromised political position. Traversing history from the brutality of the captured slave, to reformation and Jim Crow, to the Civil Rights movement and the modern day reflections on the role of civil society, police, and entertainment; we will reflect on the desires, goals, and hurdles that Blacks have faced all the while trying to articulate a sense of freedom within a white supremacist regime by following two lines of political thought: a Politics of Hope and Afro-Pessimism.||``||||``||"
"AFRI134  PO"||`||""||`||"AFRI134  PO"||`||"Black Comic Cultures"||`||"PAFR"||`||"PO"||`||"PO"||`||"African American humor can be traced to the period of enslavement, largely an underground phenomenon until the middle of the 20th century when performers like Richard Pryor and Dick Gregory brought it to the mainstream. The global rise of black comedy as a commodity and marker of identity in the 21st century demands that we reconsider how black cultural formations like comedy are embodied, evaluated, and critiqued within American culture. This seminar serves as an introduction to the history and practices of black comic cultures, and focuses on major themes, styles, and historical events that inform contemporary genres of black comedy. We will use comedy as a means to help us think about how American cultures and identities have been shaped, challenged, and transformed by way of performance."
"AFRI149  AF"||`||"05.0201"||`||"AFRI149  AF"||`||"Africana Political Theory"||`||"SAFR"||`||"SC"||`||"SC"||`||"Given the Black dispersal throughout the world, Africana Political Theory will analyze the intersection of race, class, gender, and sexuality in the formation of political structures throughout the African Diaspora. Utilizing the texts of Black scholars throughout the Diaspora, the course will provide a broad look into Black politics. "
"AFRI191  AF"||`||""||`||"AFRI191  AF"||`||"Senior Thesis"||`||"PAFR"||`||"PO"||`||"PO"||`||"Senior Thesis. In the Senior Seminar, students will undertake independent research culminating in a substantial thesis. The thesis work will be supervised by one faculty member chosen by the student. Each thesis  will be read by one additional reader."
"AFRI191C AF"||`||""||`||"AFRI191C AF"||`||"Senior Thesis"||`||"MIDS"||`||"CM"||`||"CM"||`||"Senior Thesis. In the Senior Seminar, students will undertake independent research culminating in a substantial thesis. The thesis work will be supervised by one faculty member chosen by the student. Each thesis  will be read by one additional reader. Prerequisite: AFRI190  AF.||``|| "
"AMST103  JT"||`||""||`||"AMST103  JT"||`||"Intro to American Cultures"||`||"SAMS"||`||"SC"||`||"SC"||`||"This class analyzes the histories and cultures of the U.S., focusing on the experiences of people and communities of color. Topics change each year and include race and racism; migration and immigration; and culture (e.g., art, music, film) across a wide range of academic and popular texts. This is the introductory course in the five-colleges American Studies program, but is open to all students. ||``||||``||"
"AMST113  SC"||`||"05.0102"||`||"AMST113  SC"||`||"Asian/American Geographies"||`||"SAMS"||`||"SC"||`||"SC"||`||"What is the relationship between Asian and Asian/American racialization, space, and place? This course brings together questions and texts from Asian American studies, geography, and critical ethnic studies to examine the spatialization of race across multiple scales ranging from the local to the global (e.g., colony, territory, ?Chinatown?) as well as placemaking, activism, and place-based worldviews. Specific areas of inquiry and discussion will include: Asian/American engagements with critical Asian and diaspora studies, relationships to Indigeneity and settler colonialism, U.S. militarism and empire, and questions of cultural and place-based memory."
"AMST118  PO"||`||""||`||"AMST118  PO"||`||"Digital American Studies"||`||"PAMS"||`||"PO"||`||"PO"||`||"This course examines American Studies methodologies and topics that have accompanied the emergence of new media technologies in recent decades. We will approach such topics as online political movements, representation and identity, algorithms and justice, and issues of sovereignty and surveillance, with special attention to the kinds of methodologies that prove effective to understand them. We will also examine how American Studies intersects with the digital humanities, digital ethnography, electronic archives, and online pedagogy, to better comprehend how new media changes what has always already been an interdisciplinary field. Assignments will allow us to think critically about how online terrains and protocols change the relationships between identity, power, and agency."
"AMST191  PO"||`||""||`||"AMST191  PO"||`||"Senior Thesis"||`||"PAMS"||`||"PO"||`||"PO"||`||"Senior Thesis. Required of all majors in the senior year. The capstone project for majors in which they produce an original work in American Studies."
"AMST191  SC"||`||""||`||"AMST191  SC"||`||"Senior Thesis: American Studies"||`||"SAMS"||`||"SC"||`||"SC"||`||""
"ANTH001  PZ"||`||""||`||"ANTH001  PZ"||`||"Intro Archaeology & Bio Anthro"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"An introduction to the basic concepts, theories, methods and discourses of these fields. The course includes an examination of human evolution as well as a survey of human cultural development from the Stone Age to the rise of urbanism. Each student is required to participate in one lab session per week in addition to the regular lecture meetings."
"ANTH002  PO"||`||""||`||"ANTH002  PO"||`||"Intro to Sociocultural Anth"||`||"PANT"||`||"PO"||`||"PO"||`||"Study of the structure and dynamics of human culture and social institutions from a comparative perspective. Diversity in ways of life and patterns of social organization explored through ethnographic materials from societies around the world."
"ANTH002  PZ"||`||""||`||"ANTH002  PZ"||`||"Intro Sociocultural Anthropology"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"An introduction to the basic concepts, theories and methods of social and cultural anthropology. An investigation of the nature of sociocultural systems using ethnographic materials from a wide range of societies."
"ANTH002  SC"||`||"45.0201"||`||"ANTH002  SC"||`||"Intro Sociocultural Anthropology"||`||"SANT"||`||"SC"||`||"SC"||`||"An introduction to the basic concepts, theories, and methods of social and cultural anthropology. An investigation of the nature of sociocultural systems using ethnographic materials from a wide range of societies."
"ANTH003  PZ"||`||""||`||"ANTH003  PZ"||`||"Language, Culture & Society"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"This course introduces the field of linguistic anthropology, examining language in social and ||``||cultural context. Students will become familiar with basic concepts and qualitative methods in the ||``||social sciences, including ethnographic fieldwork and the analysis of face-to-face communication. ||``||We look for ways of answering questions such as these:||``||||``|| How do everyday conversational practices create solidarity between people, or set them apart from ||``||one another? How does talk reflect and create relations of power?||``|| How do words combine with other semiotic modalities (gesture, facial expression, prosody) to ||``||convey subtle messages?||``|| Why do miscommunications arise, even between people who speak the same language?||``|| How do children learn to speak not only grammatically, but also appropriately?||``|| How does language shape our thoughts or the ways we perceive the world?||``||||``||In this course, we explore language  as a complex form of social actionnot merely a vehicle for ||``||communicating thoughts and meanings, but a means of creating the social world. We consider ways ||``||that language acts on us, and ways that we act through language: achieving relationships, ||``||constituting identities, constructing norms and patterns of thought, and positioning ourselves and ||``||others in relation to global systems of power and inequality.||``||"
"ANTH009  PZ"||`||""||`||"ANTH009  PZ"||`||"Food, Culture, Power"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"Also CHLT 9 and Soc 9. Food Is a source of our collective passion. In this course we will examine Individual and collective food memories and social history. The course will address local and global modes of food production, distribution, and consumption, as well as alternative food culture and eating disorders. "
"ANTH011  PZ"||`||""||`||"ANTH011  PZ"||`||"The World Since 1492"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"This course explores the last 500 years of||``||world history. In examining this large expanse of time, the focus is on four closely||``||related themes: (1) struggles between Europeans and colonized peoples, (2) the||``||global formation of capitalist economies and industrialization, (3) the formation of||``||modern states and (4) the formation of the tastes, disciplines and dispositions of||``||bourgeois society."
"ANTH012  PZ"||`||""||`||"ANTH012  PZ"||`||"Native Americans & Environments"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"This course will investigate the||``||traditional interrelationships of Native American ethnic groups with their various||``||environments. Are patterns of collecting wild resources or farming primary foods||``||environmentally determined? How does the physical environment affect a groups||``||social system, politics, art, religion? What impact do these cultural factors have||``||on a groups utilization of its environment? We will examine these and other issues||``||through class discussions and readings. We will consider several regions of North||``||America in our study of such groups as the Inuit, Kwakiutl, Cahuilla, Hopi, Navajo,||``||Dakota and Iroquois."
"ANTH022  SC"||`||"45.0201"||`||"ANTH022  SC"||`||"Urban East Asia"||`||"SANT"||`||"SC"||`||"SC"||`||"Contemporary mega cities in East Asia have undergone increasingly intense socioeconomic and spatial reconstruction in recent decades. These cities not only show the various processes of modernization, urbanization and globalization in locally specific contexts, but also have become new models of urbanism themselves. Drawing on various ethnographies, films, and theoretical perspectives, the course highlights the lived experiences of diverse groups and the spatial forms that produce the dynamic landscape of the cities."
"ANTH027  SC"||`||"45.0201"||`||"ANTH027  SC"||`||"Contemporary South Asia"||`||"SANT"||`||"SC"||`||"SC"||`||"This course will introduce students to anthropological perspectives on South Asia. South Asia, which is home to a quarter of the world's population, occupies a geopolitically and economically salient space. In this course, students will learn about contemporary issues in South Asia by examining the role of colonialism in shaping its present, by exploring the condition of post-coloniality, and subsequently discussing neoliberal politics in the subcontinent. This course helps students to challenge ethnocentric and delimiting understandings of South Asia, while enabling them to see South Asia for its conceptually generative potential. In this course, we will explore themes such as caste, gender, religious violence, city-making, conservation, and development among others, through ethnographic texts, novels, autobiographies and documentary films."
"ANTH030  SC"||`||"45.0201"||`||"ANTH030  SC"||`||"Middle Eastern Cities"||`||""||`||"SC"||`||"SC"||`||"Some of the world's oldest cities are located in the Middle East, including Baghdad, Damascus,  Cairo,  and  Istanbul.  Cities  in  the  region  have  come  torepresent  war  and  social  division (Beirut),  apartheid  (Jerusalem),  and  neoliberalglobal capitalism (Dubai). Today, most of the region's inhabitants live in cities. Using recent ethnographies about a variety of the region's cities, this class explores colonial legacies, segregation, labor migration, gender, sexuality, (im)mobility, andgreening."
"ANTH050  PZ"||`||""||`||"ANTH050  PZ"||`||"Sex, Body and Reproduction"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"Is there a line between nature and culture? Drawing on historical, ethnographic and popular sources, this course will examine the cultural roots of forms of knowledge about sex, the body and reproduction and the circulation of cultural metaphors in medical, historical and colonial discourse. "
"ANTH105  PO"||`||""||`||"ANTH105  PO"||`||"Mthds in Anthropological Inquiry"||`||"PANT"||`||"PO"||`||"PO"||`||"Methods in Anthropological Inquiry. Introduction to ethnography, the major mode of investigation in anthropology. Emphasis on systematic inquiry and inference. The vicissitudes of fieldwork and what it means to learn about human ways of life using the technology anthropologists have developed to gather, record and use data."
"ANTH107  PO"||`||""||`||"ANTH107  PO"||`||"Medical Anthropology"||`||"PANT"||`||"PO"||`||"PO"||`||"Medical Anthropology. History, theory, methodology and application of anthropology in various health settings. Concepts of health, illness and healing in diverse cultural contexts. Critical assessment of conventional biomedical assumptions. Use of anthropology to solve health problems."
"ANTH115  PO"||`||""||`||"ANTH115  PO"||`||"Global Latin America"||`||"PANT"||`||"PO"||`||"PO"||`||"This course examines Latin American culture and society through the lens of global interconnections. We will explore how industrialized global capitalism emerged in the plantations in the New World, and how categories of race were constructed in the colonies and later in the newly independent nation states. Additionally, the course will examine the production of global connections in terms of social movements, neoliberalism, migration, and networks of knowledge. Finally, we will look at nostalgia for an imagined time prior to a globally embedded Latin America."
"ANTH117  PO"||`||""||`||"ANTH117  PO"||`||"Anthropology of Islam"||`||"PANT"||`||"PO"||`||"PO"||`||"Within anthropology, approaches to Islam and Islamic societies have been the source of much contestation and debate. One approach called 'the anthropology of Islam,' treats Islam as a 'discursive tradition,' grounding present and future practices in past textual authorities. This literature has been largely concerned with authority, governance, and public piety. However, this literature is now considered paradigmatic, if not dominant. In this course, we will read the anthropology of Islam with an eye towards what comes next?namely, bringing these important critiques into conversation with media studies, science and technology studies, migration studies, political economy, and queer theory."
"ANTH118  SC"||`||"45.0201"||`||"ANTH118  SC"||`||"Labor, Work, and Life"||`||"SANT"||`||"SC"||`||"SC"||`||"Drawing on ethnographic, theoretical, and popular sources, the course examines the lived experiences and meanings of work of various forms of labor. The course topics include manufacturing labor, garment labor, call center workers, immaterial and affective labor of designers and writers, platform labors for ride share and delivery services, care workers, and sex workers, in order to understand the historically constructed and newly emerging issues of labor and work from a global perspective."
"ANTH127  SC"||`||"45.0201"||`||"ANTH127  SC"||`||"Settler Colonialism"||`||"SANT"||`||"SC"||`||"SC"||`||"This seminar examines processes of settler colonialism and the experiences of indigenous peoples. The central premise of this course is that colonialism is an ongoing process in many parts of the world; we will examine how it operates through sites such as sovereignty, land and territory, medicine, gender and sexuality, and others. At the same time, we will look at how indigenous practices and movements have sought to carve out spaces for critique and resistance."
"ANTH134  HM"||`||""||`||"ANTH134  HM"||`||"Rationalities"||`||"HHSS"||`||"HM"||`||"HM"||`||"What does it mean to be rational? Does it mean anything, to say that you are thinking rationally? This seminar takes an anthropological approach to knowledge and knowledge-making practices; it explores connections between rationality and culture. We will ask how and where, in which kinds of practices, 'scientific rationality' -- as we will call it for the moment -- is 'located.' What is it about this kind of rationality that is so compelling? Are other kinds of rationalities thinkable, possible, or plausible? Are such other kinds of rationalities perhaps 'at work' even as we speak, in parallel with, or embedded in, the ways in which scientists make knowledge? To answer thee questions, we will examine objectivity and calculatory logic -- the elements of 'scientific rationality.' Are objectivity and logic perhaps values as much as they are practices? We will then mine the anthropological literature for alternate logics than the ones we take for granted, examining magical thinking, belief, and indigenous practices that define for 'us' what is 'irrational.' Are such practices perhaps less irrational than we assume them to be? Finally, we will take on actual scientific practices of knowledge-making, empirically and anthropologically. We may assume that rationality as we know it imbues such practices. But are they perhaps informed by alternate logics as well? Here is where subjectivity and affect come into our picture of what scientific practices are made of; we will try to give such alternate values a place in how the bodies that 'do' science act, think, and make knowledge. Prerequisite(s): Any introductory course in anthropology or any introductory course in science, technology, and society.||``||||``||HSA Writing Intensive: Yes"
"ANTH154  PZ"||`||""||`||"ANTH154  PZ"||`||"You Can't Teach That"||`||"ZANT"||`||"PZ"||`||"PZ"||`||"You Can't Teach That: An Essay or an Attempt to Re-Establish ||``||Academic Freedom.||``||||``||This seminar examines academic freedom by probing limits on permissible speech at US colleges and universities, especially faculty speech, during two eras: (i) the present and immediate past and (ii) the long twentieth century. In addition to (i) examining several case studies of controversies over campus speech and (ii) reading key texts that make the case for academic freedom, the course also engages in the praxis of teaching important artistic, political, and scholarly works that push, or perhaps cross, the boundaries of permissibility for classroom teaching in our own time and place.  These works include Joshua Cohen's novel, The Netanyahus, Radu Jude's film, Bad Luck Banging or Loony Porn, and one or more ethnographic texts concerned with social worlds in which normative behavior would lead to severe sanctions if it occurred here (on our Claremont Colleges campus) and now (in spring 2023)."
"ANTH185P SC"||`||""||`||"ANTH185P SC"||`||"Topics in Anthropology"||`||"SANT"||`||"SC"||`||"SC"||`||"Intensive and focused study of specific issues and themes in the Middle East and North Africa, drawing extensively on anthropological sources and modes of inquiry. The topical foci will be an overview of Palestinian society and culture, and the ways in which Palestine and Palestinians have been represented in ethnography and film.||``||"
"ANTH189P PO"||`||""||`||"ANTH189P PO"||`||"Visual Anthropology"||`||"PANT"||`||"PO"||`||"PO"||`||"The course focuses on the history and development of documentary film and the emergence of ethnographic film within the discipline of anthropology. We will begin with an overview of the use of visual material, film and photography in both anthropological fieldwork as well as popular documentary films of the early 20th century. While the formal and aesthetic language of documentary film is often taken to signal 'reality' in popular understandings of the genre, how has this framing been challenged within visual anthropology? Students will learn about the changing relationship of anthropology to visual practices through a number of screenings, readings and lectures that explore issues of power and representation and the visual medium."
