"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"AFRI010A AF-01 SP2023158989","AFRI010A AF-01 SP2023","1100","1215","--T-R--","SC OUTD 01","OnCampus"
"AFRI010B AF-01 SP2023161112","AFRI010B AF-01 SP2023","935","1050","--T-R--","PO LINC 1109","OnCampus"
"AFRI020  PZ-01 SP2023161342","AFRI020  PZ-01 SP2023","1615","1730","-M-W---","PZ FL 110","OnCampus"
"AFRI119  JT-01 SP2023160858","AFRI119  JT-01 SP2023","1315","1430","--T-R--","PO LINC 1109","OnCampus"
"AFRI120  PZ-01 SP2023161057","AFRI120  PZ-01 SP2023","1445","1730","---W---","PO LINC 1109","OnCampus"
"AFRI121IOAF-01 SP2023158294","AFRI121IOAF-01 SP2023","1230","1530","-M-----","CM IO 1","OnCampus"
"AFRI125  AF-01 SP2023158292","AFRI125  AF-01 SP2023","1100","1215","--T-R--","PO LINC 1109","OnCampus"
"AFRI127  PZ-01 SP2023161481","AFRI127  PZ-01 SP2023","1445","1730","--T----","PZ AV 204","OnCampus"
"AFRI134  PO-01 SP2023160478","AFRI134  PO-01 SP2023","1315","1600","--T----","PO SCOM 104","OnCampus"
"AFRI149  AF-01 SP2023158990","AFRI149  AF-01 SP2023","1315","1430","--T-R--","SC OUTD 01","OnCampus"
"AFRI191  AF-01 SP2023161127","AFRI191  AF-01 SP2023","0","0","-------","SC ARR ","OnCampus"
"AFRI191C AF-01 SP2023161047","AFRI191C AF-01 SP2023","0","0","-------","CM ARR ","OnCampus"
"AMST103  JT-01 SP2023160759","AMST103  JT-01 SP2023","1315","1430","--T-R--","SC BL 218","OnCampus"
"AMST113  SC-01 SP2023158992","AMST113  SC-01 SP2023","1445","1730","--T----","SC HM 121","OnCampus"
"AMST118  PO-01 SP2023159931","AMST118  PO-01 SP2023","935","1050","--T-R--","PO CR 01","OnCampus"
"AMST191  PO-04 SP2023158485","AMST191  PO-04 SP2023","0","0","-------"," ARR ","OnCampus"
"AMST191  SC-01 SP2023161128","AMST191  SC-01 SP2023","0","0","-------","SC ARR ","OnCampus"
"ANTH001  PZ-01 SP2023159176","ANTH001  PZ-01 SP2023","935","1050","--T-R--","PZ AV 202","OnCampus"
"ANTH002  PO-01 SP2023159932","ANTH002  PO-01 SP2023","1100","1215","---W-F-","PO HN 107","OnCampus"
"ANTH002  PO-02 SP2023159933","ANTH002  PO-02 SP2023","1315","1430","--T-R--","PO HN 101","OnCampus"
"ANTH002  PZ-01 SP2023159177","ANTH002  PZ-01 SP2023","810","925","--T-R--","PZ AV 204","OnCampus"
"ANTH002  PZ-02 SP2023159178","ANTH002  PZ-02 SP2023","935","1050","--T-R--","PZ AV 204","OnCampus"
"ANTH002  SC-01 SP2023158993","ANTH002  SC-01 SP2023","1315","1430","--T-R--","SC OUTD 04","OnCampus"
"ANTH002  SC-02 SP2023158994","ANTH002  SC-02 SP2023","1445","1600","--T-R--","SC OUTD 04","OnCampus"
"ANTH003  PZ-01 SP2023161500","ANTH003  PZ-01 SP2023","1315","1430","-M-W---","PZ SC 230","OnCampus"
"ANTH009  PZ-01 SP2023159180","ANTH009  PZ-01 SP2023","935","1050","--T-R--","PZ BD 208","OnCampus"
"ANTH011  PZ-01 SP2023159182","ANTH011  PZ-01 SP2023","1100","1215","-M-W-F-","PZ AV 201","OnCampus"
"ANTH012  PZ-01 SP2023160501","ANTH012  PZ-01 SP2023","1445","1730","-M-----","PZ SC 230","OnCampus"
"ANTH022  SC-01 SP2023158995","ANTH022  SC-01 SP2023","1445","1600","--T-R--","SC OUTD 07","OnCampus"
"ANTH027  SC-01 SP2023158996","ANTH027  SC-01 SP2023","1445","1730","-M-----","SC OUTD 01","OnCampus"
"ANTH030  SC-01 SP2023159000","ANTH030  SC-01 SP2023","1315","1430","--T-R--","SC OUTD 02","OnCampus"
"ANTH050  PZ-01 SP2023160502","ANTH050  PZ-01 SP2023","1445","1730","-M-----","PZ BD 208","OnCampus"
