"departmentExternalId","courseExternalId"
"HMID","ABROAD   HM"
"GACM","ABUS300A CG"
"GACM","ABUS300C CG"
"GACM","ABUS301  CG"
"GACM","ABUS303  CG"
"GACM","ABUS304A CG"
"GACM","ABUS308  CG"
"GACM","ABUS314  CG"
"","ABUS321A CG"
"GACM","ABUS327  CG"
"GACM","ABUS410  CG"
"GACM","ACM 350  CG"
"GACM","ACM 351  CG"
"GCGU","AFR 333  CG"
"GCGU","AFR 334  CG"
"GCGU","AFR 336  CG"
"ZAFR","AFRI003  PZ"
"ZAFR","AFRI009  PZ"
"SAFR","AFRI010A AF"
"MIDS","AFRI010ACAF"
"SIDO","AFRI010B AF"
"MIDS","AFRI010BCAF"
"ZAFR","AFRI012  AF"
"PAFR","AFRI014  AF"
"ZAFR","AFRI020  PZ"
"PAFR","AFRI114  AF"
"SAFR","AFRI116  AF"
"SAFR","AFRI119  AF"
"SAFR","AFRI119  JT"
"ZAFR","AFRI120  PZ"
"MIDS","AFRI121  AF"
"","AFRI121IOAF"
"MIDS","AFRI125  AF"
"SAFR","AFRI127  AF"
"MIDS","AFRI128  AF"
"ZAFR","AFRI132  PZ"
"PAFR","AFRI134  PO"
"PAFR","AFRI134 PO"
"PAFR","AFRI138  PO"
"PAFR","AFRI144A AF"
"SAFR","AFRI149  AF"
"SAFR","AFRI190  AF"
"ZAFR","AFRI190  PZ"
"MIDS","AFRI190C AF"
"PAFR","AFRI191  AF"
"SIDO","AFRI191  SC"
"MIDS","AFRI191C AF"
"PAFR","AFRI192  AF"
"PAFR","AFRI193  AF"
"ZAFR","AFRI195D AF"
"SAFR","AFRI195F AF"
"ZAFR","AFRI195G AF"
"SAFR","AFRI195H AF"
"MIDS","AFRI199  AF"
"SAFR","AFRI199  SC"
"PAFR","AFRI199DRAF"
"PAFR","AFRI199IRAF"
"PAFR","AFRI199RAAF"
"ZAFR","AFRI999  PZ"
"CJSD","AISS001ALKS"
"CJSD","AISS001BLKS"
"CSCI","AISS002ALKS"
"CSCI","AISS002BLKS"
"PREG","AKP 001  PO"
"PREG","AKP 002  PO"
"PREG","AKP 003  PO"
"PREG","AKP 004  PO"
"PREG","AKP 005  PO"
"PREG","AKP 006  PO"
"PREG","AKP 007  PO"
"PREG","AKP 008  PO"
"GKGI","ALS 299  KG"
"GKGI","ALS 301  KG"
"GKGI","ALS 330  KG"
"GKGI","ALS 331  KG"
"GKGI","ALS 332  KG"
"GCGU","ALS 397  KG"
