"permCountExternalId","PermCount"
"AFRI010A AF-01 SP2023","13"
"AFRI010B AF-01 SP2023","9"
"AFRI020  PZ-01 SP2023","11"
"AFRI119  JT-01 SP2023","14"
"AFRI120  PZ-01 SP2023","18"
"AFRI121IOAF-01 SP2023","31"
"AFRI125  AF-01 SP2023","25"
"AFRI127  PZ-01 SP2023","3"
"AFRI134  PO-01 SP2023","7"
"AFRI149  AF-01 SP2023","4"
"AFRI191C AF-01 SP2023","8"
"AMST103  JT-01 SP2023","24"
"AMST113  SC-01 SP2023","24"
"AMST118  PO-01 SP2023","5"
"AMST191  PO-04 SP2023","6"
"ANTH001  PZ-01 SP2023","34"
"ANTH002  PO-01 SP2023","15"
"ANTH002  PO-02 SP2023","30"
"ANTH002  PZ-01 SP2023","24"
"ANTH002  PZ-02 SP2023","31"
"ANTH002  SC-01 SP2023","23"
"ANTH002  SC-02 SP2023","11"
"ANTH003  PZ-01 SP2023","23"
"ANTH009  PZ-01 SP2023","41"
"ANTH011  PZ-01 SP2023","2"
"ANTH012  PZ-01 SP2023","25"
"ANTH022  SC-01 SP2023","11"
"ANTH027  SC-01 SP2023","4"
"ANTH030  SC-01 SP2023","30"
"ANTH050  PZ-01 SP2023","36"
"ANTH105  PO-01 SP2023","8"
"ANTH107  PO-01 SP2023","30"
"ANTH115  PO-01 SP2023","4"
"ANTH117  PO-01 SP2023","4"
"ANTH118  SC-01 SP2023","6"
"ANTH127  SC-01 SP2023","33"
"ANTH134  HM-01 SP2023","8"
"ANTH154  PZ-01 SP2023","18"
"ANTH185P SC-01 SP2023","36"
"ANTH189P PO-01 SP2023","6"
"ANTH189S PO-01 SP2023","34"
"ANTH191  PO-04 SP2023","1"
"ANTH192  PO-04 SP2023","2"
"ARBC002  CM-02 SP2023","1"
"ARCN144  SC-01 SP2023","20"
"ARHI001B PO-01 SP2023","34"
"ARHI120  PO-01 SP2023","13"
"ARHI132  PO-01 SP2023","10"
"ARHI134  PO-01 SP2023","2"
"ARHI136  JT-01 SP2023","18"
"ARHI141A PO-01 SP2023","6"
"ARHI151  SC-01 SP2023","70"
"ARHI177  SC-01 SP2023","4"
"ARHI178  PO-01 SP2023","5"
"ARHI179E HM-01 SP2023","11"
"ARHI183  PZ-01 SP2023","62"
"ARHI185  SC-01 SP2023","44"
"ARHI186B PZ-01 SP2023","30"
"ARHI186C SC-01 SP2023","11"
"ARHI186G PO-01 SP2023","18"
"ARHI186N SC-01 SP2023","4"
"ARHI186Z PZ-01 SP2023","24"
"ARHI187  PO-01 SP2023","8"
"ARHI188  SC-01 SP2023","11"
"ARHI191  PO-04 SP2023","4"
"ARHI191  PO-16 SP2023","1"
"ART 005  PO-01 SP2023","92"
"ART 010  PO-01 SP2023","142"
"ART 011  PZ-01 SP2023","34"
"ART 016  PZ-01 SP2023","105"
"ART 020  PO-01 SP2023","112"
"ART 021  PO-01 SP2023","85"
"ART 030  PZ-01 SP2023","16"
"ART 033  PO-02 SP2023","99"
"ART 060  HM-01 SP2023","30"
"ART 102  SC-01 SP2023","21"
"ART 112  PZ-01 SP2023","28"
"ART 113  PZ-01 SP2023","20"
"ART 115  PO-01 SP2023","24"
"ART 119  PZ-01 SP2023","38"
"ART 121  SC-01 SP2023","70"
"ART 123  PZ-01 SP2023","69"
"ART 126  PZ-01 SP2023","18"
"ART 126A SC-01 SP2023","65"
"ART 126B PO-01 SP2023","14"
"ART 126B SC-01 SP2023","29"
"ART 127  PO-01 SP2023","24"
"ART 135  SC-01 SP2023","42"
"ART 136  SC-01 SP2023","22"
"ART 141  SC-01 SP2023","58"
"ART 142  SC-01 SP2023","14"
"ART 143  SC-01 SP2023","7"
"ART 145  SC-01 SP2023","19"
"ART 147  SC-01 SP2023","8"
"ART 148  SC-01 SP2023","85"
"ART 149  SC-01 SP2023","28"
"ART 151  JT-01 SP2023","5"
"ART 179K HM-01 SP2023","36"
"ART 179L HM-01 SP2023","10"
"ART 179M HM-01 SP2023","51"
"ART 179P HM-01 SP2023","45"
"ART 181G SC-01 SP2023","15"
"ART 188  PO-01 SP2023","10"
"ART 192  PO-04 SP2023","11"
"ART 193  SC-01 SP2023","6"
"ART 196  PZ-01 SP2023","7"
"ART 199  PZ-01 SP2023","1"
"ASAM056  PZ-01 SP2023","6"
"ASAM056  PZ-02 SP2023","11"
"ASAM085  PZ-01 SP2023","60"
