"courseSectionExternalId","staffExternalId"
"AFRI010A AF-01 SP2023","20256394"
"AMST191  PO-04 SP2023","10180893"
"ANTH189P PO-01 SP2023","10351624"
"ARHI120  PO-01 SP2023","10370336"
"ART 011  PZ-01 SP2023","50454902"
"ART 115  PO-01 SP2023","10139805"
"ART 141  SC-01 SP2023","20042198"
"ART 188  PO-01 SP2023","10346046"
"ASTR066L KS-02 SP2023","20042241"
"ASTR127  PO-01 SP2023","10346589"
"BIOL001A PO-01 SP2023","10032294"
"BIOL041C PO-03 SP2023","10087641"
"BIOL041E PO-02 SP2023","10087641"
"BIOL138  KS-01 SP2023","20078318"
"BIOL143  KS-02 SP2023","20273219"
"BIOL188L KS-01 SP2023","20042221"
"BIOL189L KS-01 SP2023","20042221"
"BIOL191  KS-01 SP2023","20042221"
"BIOL193  HM-02 SP2023","40084960"
"BIOL194B PO-08 SP2023","10005870"
"CHEM001BLPO-01 SP2023","10091830"
"CHEM015L KS-03 SP2023","20276824"
"CHEM015L KS-07 SP2023","20042124"
"CHEM024  HM-04 SP2023","40215058"
"CHEM024  HM-05 SP2023","40215059"
"CHEM042R HM-05 SP2023","40220256"
"CHEM070L KS-01 SP2023","20276824"
"CHEM070L KS-02 SP2023","20276901"
"CHEM110B PO-02 SP2023","10345516"
"CHEM110B PO-04 SP2023","10044271"
"CHEM117L KS-01 SP2023","20123323"
"CHEM117LXKS-06 SP2023","20264462"
"CHEM117LXKS-11 SP2023","20264462"
"CHEM147  PO-01 SP2023","10366464"
"CHEM158B PO-01 SP2023","10174021"
"CHEM188L KS-01 SP2023","20042221"
"CHEM191  PO-24 SP2023","10032286"
"CHLT157  CH-01 SP2023","50216237"
"CHST192  CH-28 SP2023","10139619"
"CORE002  SC-08 SP2023","20187764"
"CORE079R HM-04 SP2023","40043116"
"CORE079R HM-06 SP2023","40043654"
"CORE079R HM-08 SP2023","40155077"
"CSCI005  HM-01 SP2023","40169278"
"CSCI051A PO-01 SP2023","10354485"
"CSCI070  HM-01 SP2023","40005497"
"CSCI131  HM-01 SP2023","40156281"
"CSCI181AJHM-01 SP2023","40215412"
"CSCI186  HM-01 SP2023","40043116"
"CSCI191  SC-01 SP2023","20042124"
"DANC010  PO-01 SP2023","10043312"
"DANC012  PO-01 SP2023","10042972"
"DANC051  PO-01 SP2023","10042972"
"DANC152  PO-01 SP2023","10351749"
"DANC175  PO-01 SP2023","10358182"
"DS  108  PZ-01 SP2023","50378758"
"EA  010  SC-01 SP2023","20276865"
"EA  078  PZ-01 SP2023","50461084"
"EA  190  PO-01 SP2023","10351684"
"EA  196  KS-01 SP2023","20042124"
"ECON102  PO-01 SP2023","10354731"
"ECON102  SC-01 SP2023","20264569"
"ECON120  SC-01 SP2023","20256430"
"ECON140  PZ-01 SP2023","50423045"
"ECON145  CM-01 SP2023","30372702"
"ECON150  CM-01 SP2023","30251235"
"ECON155  CM-01 SP2023","30251235"
"ECON160  CM-01 SP2023","30214678"
"ECON197S CM-01 SP2023","30353378"
"ENGL055C PO-01 SP2023","10237366"
"ENGL133S SC-01 SP2023","20173557"
"ENGL135  PZ-01 SP2023","50221622"
"ENGL160  PZ-01 SP2023","50461080"
"ENGR004  HM-01 SP2023","40043284"
"ENGR072  HM-01 SP2023P1","40001194"
"ENGR080  HM-01 SP2023","40169710"
"ENGR080  HM-02 SP2023","40220258"
"ENGR085  HM-01 SP2023","40005482"
"ENGR102  HM-01 SP2023","40205195"
"ENGR175  HM-01 SP2023","40005488"
"ENGR190BEHM-01 SP2023","40209986"
"ENGR190M HM-01 SP2023","40215055"
"FHS 010  CM-03 SP2023","30384854"
"FIN 460  CM-01 SP2023","30216438"
"FREN001L CM-01 SP2023","30182015"
"FREN033  PO-02 SP2023","10364484"
"FREN033  PO-03 SP2023","10364484"
"FREN033  SC-02 SP2023","20280623"
"FREN175  PO-01 SP2023","10037773"
"FWS 010  CM-05 SP2023","30313443"
"GEOL181  PO-01 SP2023","10180209"
"GERM002  SC-01 SP2023","20042169"
"GERM013  PO-01 SP2023","10196894"
"GERM193  PO-04 SP2023","10030143"
"GOVT020  CM-01 SP2023","30291353"
"GOVT020  CM-05 SP2023","30026336"
"GOVT060  CM-03 SP2023","30075286"
"GOVT101  CM-01 SP2023","30028646"
"GOVT138C CM-01 SP2023","30384836"
"GRMT014  PO-01 SP2023","10141237"
"GWS 162  PO-01 SP2023","10354740"
"HIST032  CH-01 SP2023","10370226"
"HIST138  PZ-01 SP2023","50010708"
"HIST143  SC-01 SP2023","20042165"
